Time (s),Section,Text,Anger Score,RMS,Brightness,Motion
12.1,,,0.9000,0.034291,50.869429,1.296266
12.2,,,0.9000,0.031865,62.896579,1.333443
12.3,,,0.9000,0.029440,77.478159,1.370620
12.4,,,0.9000,0.027014,180.763590,1.407797
12.5,,,0.9000,0.024589,63.094933,1.444974
12.6,,,0.9000,0.022163,128.981359,1.482151
12.7,,,0.9000,0.019738,39.589415,1.519328
12.8,,,0.9000,0.017313,97.326389,1.556505
12.9,,,0.9000,0.014887,103.436564,1.593682
13.0,,,0.9000,0.012462,104.422614,1.630859
13.1,,,0.9000,0.016017,101.741531,1.940300
13.2,,,0.9000,0.019572,77.629780,2.249742
13.3,,,0.9000,0.023128,96.033526,2.559183
13.4,,,0.9000,0.026683,91.620917,2.868625
13.5,,,0.9000,0.030238,115.104784,3.178066
13.6,,,0.9000,0.033793,129.833857,3.487508
13.7,,,0.9000,0.037349,89.658179,3.796949
13.8,,,0.9000,0.040904,67.277912,4.106391
13.9,,,0.9000,0.044459,95.027502,4.415832
14.0,,,0.9000,0.048015,45.608480,4.725274
14.1,,,0.9000,0.046784,91.872915,4.833613
14.2,,,0.9000,0.045553,64.926531,4.941953
14.3,,,0.9000,0.044323,118.042028,5.050293
14.4,,,0.9000,0.043092,169.723298,5.158632
14.5,,,0.9000,0.041861,97.638723,5.266972
14.6,,,0.9000,0.040631,102.811844,5.375312
14.7,,,0.9000,0.039400,20.713174,5.483651
14.8,,,0.9000,0.038169,5.616583,5.591991
14.9,,,0.9000,0.036939,3.781990,5.700331
15.0,,,0.9000,0.035708,33.665732,5.808670
15.1,,,0.9000,0.036305,91.246202,5.244804
15.2,,,0.9000,0.036902,103.454414,4.680937
15.3,,,0.9000,0.037500,104.870001,4.117071
15.4,,,0.9000,0.038097,49.225197,3.553204
15.5,,,0.9000,0.038694,27.502484,2.989337
15.6,,,0.9000,0.039292,56.242742,2.425471
15.7,,,0.9000,0.039889,34.172083,1.861604
15.8,,,0.9000,0.040486,56.626618,1.297737
15.9,,,0.9000,0.041084,66.031331,0.733871
16.0,,,0.9000,0.041681,64.818560,0.170004
16.1,,,0.9000,0.040118,57.891873,0.174374
16.2,,,0.9000,0.038555,71.889601,0.178744
16.3,,,0.9000,0.036993,67.200272,0.183114
16.4,,,0.9000,0.035430,40.850165,0.187484
16.5,,,0.9000,0.033867,46.630992,0.191854
16.6,,,0.9000,0.032305,66.384071,0.196223
16.7,,,0.9000,0.030742,77.822193,0.200593
16.8,,,0.9000,0.029180,79.585674,0.204963
16.9,,,0.9000,0.027617,134.479800,0.209333
17.0,,,0.9000,0.026054,133.496568,0.213703
17.1,,,0.9000,0.029009,37.280559,0.212523
17.2,,,0.9000,0.031964,65.831060,0.211344
17.3,,,0.9000,0.034919,163.938259,0.210164
17.4,,,0.9000,0.037874,145.489078,0.208984
17.5,,,0.9000,0.040829,143.141690,0.207805
17.6,,,0.9000,0.043784,153.042985,0.206625
17.7,,,0.9000,0.046739,192.968890,0.205445
17.8,,,0.9000,0.049694,162.430186,0.204266
17.9,,,0.9000,0.052649,171.351236,0.203086
18.0,,,0.9000,0.055604,0.561957,0.201906
18.1,,,0.9000,0.054934,0.561957,0.201885
18.2,,,0.9000,0.054265,0.561799,0.201865
18.3,,,0.9000,0.053595,55.468329,0.201844
18.4,,,0.9000,0.052925,53.059840,0.201823
18.5,,,0.9000,0.052255,52.241583,0.201802
18.6,,,0.9000,0.051585,77.989655,0.201781
18.7,,,0.9000,0.050915,78.113040,0.201760
18.8,,,0.9000,0.050246,77.174997,0.201739
18.9,,,0.9000,0.049576,77.093136,0.201719
19.0,,,0.9000,0.048906,77.017909,0.201698
19.1,,,0.9000,0.048228,77.457989,0.703409
