Time (s),Brightness
0.0,127.59055555555555
0.1,127.36779079861111
0.2,124.71787760416667
0.30000000000000004,124.2135546875
0.4,123.92818142361111
0.5,117.03615451388889
0.6000000000000001,130.34630208333334
0.7000000000000001,133.03838975694444
0.8,131.04894965277776
0.9,118.59165364583333
1.0,108.43969184027777
1.1,67.40755642361111
1.2000000000000002,71.79542100694445
1.3,71.14745659722222
1.4000000000000001,93.55063802083333
1.5,124.85276909722222
1.6,113.26196180555556
1.7000000000000002,112.8140625
1.8,154.6238324652778
1.9000000000000001,154.8234765625
2.0,154.7985720486111
2.1,154.84701388888888
2.2,154.79427951388888
2.3000000000000003,154.80606336805556
2.4000000000000004,155.20263020833335
2.5,155.22336371527777
2.6,155.25688802083334
2.7,155.2520529513889
2.8000000000000003,170.91671006944443
2.9000000000000004,170.95752170138888
3.0,171.3921831597222
3.1,171.38358506944445
3.2,171.39149305555554
3.3000000000000003,171.39717881944443
3.4000000000000004,171.40502170138888
3.5,171.40437065972222
3.6,171.41619791666668
3.7,171.4656467013889
3.8000000000000003,171.41255208333334
3.9000000000000004,171.43441840277777
4.0,171.44905815972223
4.1000000000000005,171.44070746527777
4.2,112.61666232638889
4.3,112.48169270833333
4.4,112.37034722222222
4.5,112.26417100694445
4.6000000000000005,112.19139322916666
4.7,112.12506510416667
4.800000000000001,112.07244357638889
4.9,112.05758680555556
5.0,112.05323784722222
5.1000000000000005,112.02483506944445
5.2,112.10796440972223
5.300000000000001,112.12357204861111
5.4,112.20187065972222
5.5,81.23168836805556
5.6000000000000005,81.29524305555556
5.7,81.33751302083333
5.800000000000001,81.42244791666667
5.9,81.44839409722222
6.0,81.4990060763889
6.1000000000000005,81.54638454861112
6.2,81.48199652777778
6.300000000000001,81.3575173611111
6.4,80.92703559027778
6.5,80.61177517361111
6.6000000000000005,80.44188368055555
6.7,80.4076171875
6.800000000000001,80.41509114583333
6.9,99.41357638888888
7.0,99.68650173611111
7.1000000000000005,99.92573784722222
7.2,100.32752170138889
7.300000000000001,100.52434027777778
7.4,100.72136284722222
7.5,114.36706597222222
