Time (s),Motion
327.0,0.33745876
328.0,1.0770653
329.0,3.0239403
330.0,11.614992
331.0,4.268849
332.0,0.4658261
333.0,0.6353886
334.0,2.593066
335.0,1.4920332
336.0,0.012500603
337.0,2.2794602
338.0,4.82499
339.0,4.7517943
340.0,5.0258374
341.0,5.476174
342.0,2.4649646
343.0,0.23575051
344.0,3.2926276
345.0,2.3376772
346.0,1.4672061
347.0,1.217796
348.0,1.3201386
349.0,1.2971268
350.0,1.7166779
351.0,1.8201712
352.0,1.7465025
353.0,1.9148955
354.0,6.894943
355.0,16.55256
356.0,6.6423573
357.0,1.3384064
358.0,1.7966523
359.0,1.4713075
360.0,0.7063145
361.0,0.09074469
362.0,0.07720792
363.0,0.09096616
364.0,0.09955196
365.0,1.8280514
366.0,0.034044504
367.0,1.8975422
368.0,0.51181674
369.0,0.99855936
370.0,0.37220353
371.0,3.3845756
372.0,3.1584208
373.0,2.3410552
374.0,2.4954207
375.0,2.0601337
376.0,5.8160925
377.0,6.652848
378.0,7.7788563
379.0,5.6254005
380.0,0.0863498
381.0,0.07545947
382.0,3.3189516
383.0,0.8440931
384.0,0.71530527
385.0,0.9161977
386.0,1.8219
387.0,2.664381
388.0,4.6787558
389.0,5.048874
390.0,4.8332405
391.0,4.697501
392.0,4.633881
393.0,4.548276
394.0,0.68221265
395.0,0.5012372
396.0,0.00407709
397.0,0.0010593251
398.0,2.6051953
399.0,0.41948357
400.0,0.2767837
401.0,0.03828545
402.0,0.030010795
403.0,0.14048503
404.0,0.00979787
405.0,4.6046915
406.0,13.063677
407.0,2.71048
408.0,4.483511
409.0,6.155831
410.0,3.856726
411.0,3.4624023
412.0,4.352913
413.0,3.7444944
414.0,4.1928935
415.0,4.812982
416.0,4.457608
417.0,3.4376955
418.0,0.24121062
419.0,0.2403549
420.0,0.33168563
421.0,0.28204575
422.0,0.21813503
423.0,0.15160069
424.0,3.8019004
425.0,5.541651
426.0,2.9254067
427.0,6.876654
428.0,3.7914057
429.0,3.4350827
430.0,3.9622533
431.0,3.4581406
432.0,3.4322686
433.0,5.449427
434.0,1.1275784
435.0,9.118963
436.0,13.881188
437.0,13.223324
438.0,3.331419
439.0,0.5877561
440.0,0.6296645
441.0,0.6221454
442.0,0.28571635
443.0,4.3395343
444.0,7.1180515
445.0,1.9639403
446.0,2.7272906
447.0,2.4627104
448.0,3.7789054
449.0,0.059420038
450.0,0.07966776
451.0,0.13537127
452.0,0.089594185
453.0,2.4449189
454.0,2.0562701
455.0,4.8813176
456.0,4.6143727
457.0,4.29352
458.0,3.116759
459.0,3.8773165
460.0,6.227066
461.0,2.2621698
462.0,4.503593
463.0,3.2572472
464.0,3.3428853
465.0,3.0572767
466.0,3.1001928
467.0,3.049211
468.0,2.98253
469.0,7.7543893
470.0,11.60265
471.0,7.5018406
472.0,6.3351126
473.0,1.2745111
474.0,6.610008
475.0,4.5881224
476.0,7.952448
477.0,8.789764
478.0,10.257592
479.0,10.2146635
480.0,9.162792
481.0,8.336508
482.0,7.612731
483.0,6.483287
484.0,0.045911934
485.0,0.0036686603
486.0,0.505291
487.0,5.8430758
488.0,2.1094692
489.0,0.5853225
490.0,0.9559723
491.0,6.2071815
492.0,6.7193384
493.0,6.9701405
494.0,5.900463
495.0,5.473872
496.0,8.001388
497.0,5.43626
498.0,5.7492833
499.0,5.496545
500.0,3.8023136
501.0,5.020917
502.0,5.087571
503.0,0.010878606
504.0,0.017296862
505.0,0.0036324388
506.0,0.0037923255
507.0,0.00035207698
508.0,3.7868366
509.0,0.01206166
510.0,1.1573231
511.0,3.2778149
512.0,3.4020576
513.0,3.4949634
514.0,3.2947228
515.0,4.622513
516.0,7.062061
517.0,3.6426008
518.0,4.4374084
519.0,8.309556
520.0,4.9416575
521.0,6.6165643
522.0,6.168302
523.0,5.2332153
524.0,2.997238
525.0,4.7998867
526.0,3.254563
527.0,22.619549
528.0,3.9586415
